Years_of_Experience,Salary
6.118427617,88432.54306
6.12348571,88185.02467
6.124724862,88866.09902
6.13915906,86513.84781
6.142532262,88368.66312
6.152698598,88265.40597
6.166178371,87139.9015
6.186806829,88252.39444
6.194272397,88852.84781
6.200272049,87805.34732
6.208768113,87180.15616
6.222106504,87722.65555
6.23280101,90111.98589
6.241684412,88235.09347
6.246373796,86670.68161
6.305124216,87551.37301
6.310310026,88345.6386
6.315764348,85357.247
6.331811501,87881.75617
6.332294694,89597.16407
6.341998524,86810.46276
6.345078859,88475.41109
6.353392961,88795.08983
6.366781366,85643.86528
6.374563456,87888.66743
6.375101349,85500.75963
6.378095189,86685.36543
6.395840691,89815.88806
6.398346442,89535.2515
6.403544144,91235.29915
6.407582214,90238.43124
6.408127983,87558.77815
6.416632252,86800.65108
6.418667084,87558.70142
6.435102098,86333.18971
6.441166832,88868.59677
6.44541066,87431.18709
6.457279763,87061.70697
6.488749671,87289.0951
6.500897766,89028.46289
6.511263271,88675.06602
6.511820264,90638.41844
6.520631348,89276.05236
6.534638293,85741.87928
6.54840849,88301.76658
6.571044626,86253.50603
6.576590513,88866.58394
6.587589532,85972.68307
6.60621346,88610.00278
6.628787694,87294.90235
6.629027401,86896.48679
6.632939641,86374.04785
6.636976885,86959.26731
6.63720837,86158.62793
6.641400832,87734.53005
6.643403489,92778.50191
6.659361945,87306.58557
6.661152373,88120.11919
6.671583846,87923.64814
6.67973532,86929.05786
6.691353353,87504.43803
6.695891346,87156.48936
6.712203518,87552.63212
6.713481442,88304.72611
6.723890748,89648.05531
6.724429173,88253.86585
6.724491895,85991.19451
6.725968525,86468.76333
6.729612048,88048.71561
6.760679715,85610.29761
6.77954179,87651.38072
6.790961361,86294.58513
6.810247037,89071.07153
6.817438281,86288.03797
6.824570608,88478.42922
6.824859433,88748.45209
6.838350445,89838.21882
6.842634197,88662.45018
6.846982728,87813.94773
6.848585845,85800.94733
6.89106615,84916.78428
6.90730141,91160.68074
6.930882891,87324.84203
6.947447193,86360.6952
6.954859692,87406.29276
6.958099474,87881.78187
6.972790794,87334.62336
6.989392709,87613.42468
6.993350829,86550.49081
7.016180584,89580.4277
7.018264808,87520.70413
7.024259854,86744.56568
7.060035483,87222.57876
7.080362044,86878.23297
7.088304885,86599.139
7.111954368,87688.81017
7.141009304,88189.45801
7.163470787,87664.09003
7.169132068,87293.13745
7.17095835,87284.42292
7.178154166,86677.94486
7.181298267,88862.02709
7.190736684,85405.59176
7.203450906,88366.24366
7.208649852,88159.13446
7.216318537,87754.6495
7.227966729,87415.57647
7.241675731,88519.62965
7.244152482,88889.59352
7.247659968,86229.6054
7.254434492,87034.86932
7.256004947,87217.97978
7.276175034,86650.09486
7.276241809,85293.88108
7.277058325,88624.18043
7.283335403,88025.77751
7.283450812,87335.43844
7.315069262,89687.16671
7.317772413,88928.66777
7.328192477,89828.72693
7.330101738,88846.81348
7.334245949,87314.55141
7.340225763,89881.62354
7.345446984,87363.20423
7.357330974,87145.70445
7.384268827,87520.83603
7.385977737,88454.39139
7.391348619,88011.06844
7.39264398,84583.40674
7.395692188,88544.25264
7.397078112,86046.42113
7.425299184,88068.88087
7.435060015,88116.89844
7.43729204,86009.09568
7.454277363,87654.03998
7.467324768,88478.27464
7.468260534,85167.64505
7.468647898,85134.92677
7.469097343,86703.91202
7.484636649,88049.93166
7.488062611,88464.18116
7.497074316,87320.11797
7.503326382,85328.90381
7.507633026,88630.27673
7.512162574,86212.19166
7.515187494,91028.61791
7.519804536,88442.66967
7.529509971,87861.33738
7.533851717,86746.36509
7.541647551,86167.01457
7.544701913,89386.04514
7.546240148,88648.21631
7.568075545,88311.82531
7.569804804,87265.67155
7.573019894,87522.54677
7.582651799,85676.00803
7.586794955,83604.44422
7.591969285,85916.80112
7.59847788,86558.90886
7.604989094,88101.05798
7.608395301,87053.0771
7.630601591,87753.17674
7.643476961,87818.57352
7.64457207,87906.01316
7.651800465,86684.41553
7.658699754,86308.57488
7.662451563,87576.95326
7.664859111,87851.71194
7.67954013,86168.60601
7.684678354,87309.66258
7.699647674,87235.28875
7.700169306,86179.43396
7.706062222,87024.65168
7.718602068,86576.33634
7.728195346,86122.19955
7.729766383,86556.17248
7.730188872,86316.2329
7.734156405,85894.847
7.73622885,86628.68079
7.749755868,85934.37333
7.754793344,86096.33519
7.755209502,87651.08832
7.756766523,86673.01756
7.774669521,88906.10391
7.784925365,89495.63675
7.787202998,86125.58084
7.789243268,86201.54747
7.789289974,83603.23878
7.789776044,87544.43627
7.795871411,86950.35567
7.80434433,85324.35325
7.808068962,87643.33517
7.808724911,86398.78625
7.810491227,87275.62946
7.815229691,87856.69053
7.82186364,87532.49352
7.823863338,87751.15769
7.82798928,88044.53808
7.828896134,86291.44628
7.829040327,86400.07829
7.82986362,84943.90049
7.829929626,87409.29594
7.835821139,82251.22118
7.842946002,87115.6664
7.847346382,88375.36549
7.850107196,87754.8006
7.85911288,86018.60731
7.867552977,86066.29672
7.872411801,87733.38066
7.874851389,84551.50403
7.87653093,87404.04307
7.887646748,89073.18567
7.899931016,86974.4793
7.907743123,89090.77561
7.909169591,85960.88895
7.916749002,88275.27474
7.921804182,88888.20579
7.937751324,87209.61464
7.940111362,88019.41101
7.951742239,86215.59587
7.953858389,88640.05564
7.954762111,86933.61455
7.963277523,87773.61685
7.968785206,88290.77407
7.980419681,87514.62072
7.981560048,84973.71232
7.985545169,88989.40439
7.995113573,87247.2048
7.997941981,88752.53759
7.998533442,91463.62033
7.999836437,85231.55603
8.000851933,88723.942
8.003263088,86996.07483
8.011401939,86363.42835
8.01413411,86484.53468
8.014553046,86279.31884
8.021838256,89232.21905
8.029020205,86660.22195
8.034996181,88530.61777
8.035127152,85231.54815
8.039882641,86725.31888
8.040282323,86811.92462
8.045244496,87867.5039
8.0489629,86802.96937
8.050136123,87339.32028
8.051763919,85194.05178
8.054586657,85381.60748
8.065257929,87838.23116
8.068864922,86360.91333
8.07220617,87481.72053
8.085282129,86701.30093
8.091459246,85971.24527
8.108374886,87822.81176
8.110029131,87820.4682
8.110308243,85695.26503
8.11865657,84647.63486
8.146101758,86917.15675
8.150073687,86756.90951
8.154244925,87441.57701
8.168345448,88918.09163
8.170649769,88549.28547
8.17083619,85176.00709
8.174054441,89213.27032
8.17991735,86455.35073
8.180466757,86450.53742
8.183779973,87306.28872
8.184006001,89119.38378
8.190944002,86828.4745
8.191297823,88116.88849
8.201511263,86135.97892
8.207152113,86444.97007
8.217829273,88219.95685
8.225825591,87524.44333
8.238378042,85548.69355
8.239614706,87217.29052
8.244158897,87857.1826
8.244974424,86728.18247
8.256055279,86873.93734
8.287667801,85938.97312
8.2892696,84701.86417
8.291855976,88037.68181
8.299125288,86565.76116
8.303345057,87954.83113
8.309906096,87523.54177
8.314328493,89917.82841
8.31467622,88593.48318
8.315328363,85762.24539
8.322215848,88712.19837
8.323117221,85879.03168
8.324852185,86808.37546
8.327625981,87590.55521
8.329331701,85759.65226
8.33209527,86137.97043
8.333270645,87764.88451
8.335009518,83945.01111
8.335510428,87207.84873
8.339308755,87618.33137
8.341324342,85872.3178
8.343977741,84513.4265
8.346981066,85417.66978
8.347764914,86924.81352
8.35438355,86453.81489
8.36495675,87776.04852
8.375865102,86231.65108
8.381146131,87850.06722
8.382199235,84972.32745
8.386172235,86224.26488
8.386490668,87906.05239
8.39273998,86945.37963
8.407281576,86399.8438
8.45240251,88040.39074
8.454740663,88899.60282
8.458735375,87128.61484
8.461808091,87755.16022
8.462589787,88874.6273
8.477020765,87530.06024
8.480895907,86255.54023
8.490268088,85671.53363
8.490420981,85492.08601
8.491385356,87848.68977
8.502782319,85978.96531
8.524919391,85599.47461
8.531404711,84876.81409
8.538929222,87676.64209
8.548310408,86769.08501
8.553386119,87141.92002
8.55413281,86752.53466
8.556207902,83441.94037
8.562376522,85994.10767
8.567539858,85754.60075
8.570522563,89191.63098
8.577351069,83630.19686
8.580742481,86015.53867
8.582609317,87068.19014
8.588528248,87140.47591
8.598858662,89474.90319
8.607741425,88381.77
8.612691276,86934.16853
8.617564943,87543.52157
8.620080295,88533.78028
8.620370208,86457.50283
8.622063686,87461.22269
8.623430678,87938.63095
8.623514529,86224.20381
8.636162225,86931.59777
8.641431842,87968.23016
8.654228768,87598.30142
8.655499901,85980.904
8.66377899,85868.51908
8.667396778,82609.93038
8.682086121,86173.6375
8.684766116,88896.84911
8.688210378,86851.04322
8.693238041,87878.07206
8.698853077,85282.22329
8.710507343,83689.68396
8.719408225,89495.56641
8.724728272,86403.26579
8.725522607,87308.7789
8.734455583,88094.0411
8.748840543,86629.21608
8.750041856,86561.66742
8.775918241,87374.16398
8.779991382,85755.32545
8.780336091,84415.66488
8.785424605,87325.89898
8.788280416,87068.08572
8.794884119,84964.84917
8.805494041,87087.50207
8.806799725,86092.25099
8.814073016,86245.92739
8.820650239,87910.22924
8.825342629,86669.15881
8.825380479,88412.25545
8.829711057,85439.70107
8.830073224,86314.20629
8.832173994,87823.45841
8.83267494,87663.57825
8.835366849,86554.08377
8.837787714,85918.09504
8.841453298,85964.8855
8.844458473,85521.27955
8.848825866,86540.80135
8.859027923,86247.52976
8.860035959,89459.42302
8.865619482,87811.53516
8.866554713,91415.14132
8.877069339,86305.65119
8.888028738,85981.74031
8.888567266,86009.14002
8.891504765,86538.783
8.893086217,86889.94043
8.896037013,90076.10348
8.909195569,86439.32961
8.91142372,86702.91499
8.922740665,89720.11077
8.928640978,87760.38678
8.940374638,88217.01799
8.953492696,89389.18138
8.954872697,86731.61861
8.957064154,87067.89171
8.959340817,86987.59109
8.967093418,87824.55997
8.970207001,85277.05282
8.981486183,86214.64196
8.985205739,86209.90879
8.991682183,89311.3093
8.992219184,88591.57608
8.997290397,89057.52654
9.000332766,87457.43479
9.015013965,87818.93149
9.01760417,86965.26167
9.023176161,89579.92975
9.027798697,87250.96048
9.030343985,88510.17945
9.032486626,87597.60035
9.037384186,88661.9471
9.038101248,87408.40715
9.040089407,88429.30502
9.040176706,88263.12441
9.042759916,86868.45297
9.043028597,89273.42713
9.045570249,87408.01022
9.050866685,86743.19276
9.058187062,87967.77638
9.064991518,85319.25232
9.067424989,86538.81027
9.067840187,87810.13566
9.073943997,85361.0557
9.074254555,86125.61361
9.078368757,88543.6404
9.080181544,88014.55418
9.086557578,86762.62351
9.089695681,87116.19882
9.091573223,86547.69483
9.091618825,85896.48465
9.097602598,87675.00801
9.098332609,88142.89099
9.101462833,87303.8651
9.123233627,85176.94972
9.123479303,87345.37478
9.123842775,87321.09275
9.13805236,89686.00939
9.140585722,85206.70529
9.146245617,87431.78637
9.15559324,85811.08364
9.159676185,89566.85293
9.164241962,87628.45899
9.16659904,88004.92729
9.166711147,86262.85213
9.168660529,84417.34396
9.174929946,86327.22994
9.18154382,86671.69228
9.181834144,87429.47054
9.182132692,89296.27606
9.19946495,89059.36742
9.202390707,89041.27893
9.219302594,86994.388
9.22042218,89073.74475
9.222532801,87284.77168
9.22659516,86785.44736
9.232790234,88714.28849
9.233308922,86600.2172
9.235958498,89267.9118
9.247523412,89455.11798
9.253067154,86446.09279
9.25932573,86182.56496
9.259571214,88754.15854
9.265455184,88998.66117
9.265728797,88499.52777
9.266106582,88014.98796
9.267646803,86309.57481
9.275385132,88802.34238
9.276448872,89563.00037
9.282462557,86402.82634
9.282524136,90055.65005
9.286220227,86329.64565
9.292849774,88821.83348
9.293173594,85363.10888
9.29606551,88189.76668
9.296708288,88589.03359
9.303954627,89093.79311
9.307905586,90098.06416
9.31265666,85400.00306
9.316392293,86645.89763
9.321027801,88219.06999
9.324032528,88159.52964
9.324606858,88853.72296
9.329591035,89034.3612
9.334266891,88095.04403
9.337375286,86586.91488
9.342916587,87313.81981
9.347932242,88451.14648
9.34899803,85168.08099
9.356346319,89942.38091
9.35968452,86534.83002
9.361940522,87333.1324
9.367135869,87510.62556
9.367962024,86673.96488
9.374277369,88497.49776
9.381731953,88150.3974
9.38806763,87084.58043
9.399161529,89067.54101
9.399308983,86655.09521
9.404388454,86861.77407
9.412090606,89184.9445
9.413754054,88123.11887
9.413916393,87639.15088
9.415388696,87879.71292
9.41623009,87854.77221
9.419266171,89732.01178
9.42125085,86327.78286
9.425252089,88127.62555
9.428982135,90619.39014
9.433678037,90290.52114
9.435926519,89143.59516
9.445512415,88820.45312
9.447971791,87263.88077
9.44871012,88229.51704
9.452412294,89035.0374
9.453763901,86835.15962
9.453966692,86116.24603
9.456409827,85890.93962
9.458339681,86976.58783
9.460292543,86331.71664
9.461160133,88691.16468
9.462236722,89995.05575
9.463735142,88323.11937
9.465609668,86276.55037
9.466694559,88874.21042
9.467835931,85789.38973
9.471230815,87967.95319
9.480276076,87266.2049
9.480520172,87390.2579
9.489516591,87122.92589
9.497761861,87631.01173
9.498591956,89274.44159
9.501646059,86658.51742
9.507188238,89878.23171
9.508343367,88594.53094
9.516225276,88257.69509
9.521087421,86029.23949
9.52270605,88602.4958
9.525109758,89298.94016
9.531774211,87828.30014
9.532030305,87889.05749
9.535053426,88433.61509
9.535824835,87998.4441
9.536286095,86971.00097
9.538983539,90530.10381
9.540361799,89862.42019
9.55446392,89934.69259
9.557477458,90744.11211
9.559827929,87194.49413
9.567501717,87744.62571
9.572685157,88419.98854
9.576864462,88461.10438
9.592074105,87810.48617
9.592854148,85999.66129
9.601664087,89725.21659
9.601888952,89382.28265
9.603689905,87759.44646
9.604367508,88955.14064
9.606580413,89395.67715
9.612512526,89664.48375
9.615680138,87376.77799
9.622176303,88284.30832
9.626715257,88770.51376
9.631833557,89354.1213
9.651788093,86873.23231
9.654556069,88186.05079
9.65503016,87572.35769
9.657104173,88872.26577
9.663857284,90084.89331
9.664379939,87925.81776
9.66663869,86519.6539
9.671012833,87726.69716
9.680479253,88297.20972
9.680613761,89936.30431
9.682134553,87957.82358
9.683394062,87534.15452
9.687433242,87448.81868
9.691207761,89068.31443
9.691524413,88168.00608
9.697920723,87550.32703
9.70172203,91331.8379
9.714539013,86347.86419
9.715496889,87024.00611
9.716691043,91599.67508
9.71926596,87922.48788
9.721304003,90762.78205
9.72148,89800.16716
9.722146269,89788.12609
9.72864168,86066.6903
9.733988299,84648.9944
9.738941071,88526.74142
9.747179738,86688.98119
9.748463279,89796.33476
9.750292865,91117.14581
9.751722481,88704.84376
9.762910405,86158.90294
9.766369907,87936.63073
9.767845037,91848.00637
9.769297142,90354.84106
9.777049195,89544.49911
9.777855376,89703.99465
9.779308498,88639.83518
9.78152055,88868.06012
9.783907902,89235.4239
9.80717281,89326.05793
9.813945133,89339.75357
9.815658979,89248.09833
9.816671036,89719.01741
9.820405343,89035.70495
9.821860281,90484.91095
9.82196678,88278.41508
9.823525736,88529.18745
9.833695904,90937.1545
9.834868965,88390.95775
9.835276221,88714.24786
9.837809205,87058.10668
9.840910258,89394.2614
9.844605491,89434.28865
9.848289155,86343.78201
9.848490475,87227.29483
9.851804231,86536.96412
9.857060589,90471.33912
9.862030399,90454.56646
9.862205781,89208.48639
9.865898874,89404.86115
9.868589084,87985.08738
9.874619349,90873.39685
9.878784462,88462.61408
9.900090019,87567.11456
9.918160412,90745.4382
9.919098256,89117.34699
9.919603107,89128.01257
9.922191656,89749.51316
9.923677823,87807.42038
9.936611429,88386.40729
9.9369692,90335.11869
9.93711213,90123.30253
9.938500804,89708.22326
9.943709379,89585.87781
9.947606614,88976.50474
9.950816274,88542.86094
9.95360952,88525.63625
9.954882238,89621.29273
9.957695064,87323.01455
9.958564048,90750.58675
9.959900102,89908.81195
9.96024232,89856.58358
9.962789284,90458.02343
9.963085858,86599.59291
9.973114752,89275.37796
9.981184296,88843.13727
9.993798905,87987.08588
9.995817598,91538.49418
9.995960699,91037.28645
10.00056154,88733.57194
10.00127001,87640.11974
10.0013525,89355.02012
10.00541538,88734.80326
10.00666427,89287.2495
10.01088288,88048.30062
10.01685906,90642.03999
10.01990933,91042.55907
10.02330917,88219.05903
10.02702976,89254.97294
10.03200072,89301.54511
10.032956,89433.50149
10.03379605,90797.0778
10.03833598,91210.10767
10.03975058,89998.91494
10.04106507,88931.58678
10.0443963,90600.62277
10.04943129,89325.38109
10.05424309,89769.98572
10.05731209,89962.44388
10.05908534,91211.57882
10.06323533,89304.77449
10.06398694,89350.71324
10.07500924,89362.14262
10.08167072,90399.74014
10.08262025,90430.14404
10.08574419,91605.97935
10.08616936,90429.38658
10.08814698,89290.86955
10.09005292,89566.13889
10.09459946,91663.61109
10.0969733,90375.9578
10.10027198,88667.19471
10.10134038,88685.74066
10.10167687,90964.86359
10.10175283,89521.22758
10.10565887,91404.59685
10.10914071,89813.91769
10.11100169,91390.66082
10.111622,89366.1428
10.11382556,90877.66492
10.12787536,88632.71544
10.12865702,90204.76118
10.13010939,89152.58516
10.13044878,90881.4204
10.13656329,88499.58139
10.14434273,88471.20295
10.14851955,88454.5008
10.15343124,88777.48649
10.15987071,90484.22699
10.16356073,93271.80464
10.16406583,89687.9472
10.16741405,88392.09059
10.18138048,89362.39229
10.18385582,90362.85864
10.18758336,92437.87847
10.18885485,91465.00826
10.18976918,88463.33378
10.19700996,90395.1815
10.19893865,88507.72091
10.19975456,90936.27689
10.20406583,90432.37865
10.20495758,91858.80784
10.20656149,90392.86481
10.21184848,92299.82693
10.2124515,91739.65107
10.21254404,88266.2052
10.21293304,91255.96977
10.21721627,91444.08905
10.21806767,90487.05882
10.22119823,92451.47232
10.22983549,90575.1917
10.23198385,90983.51077
10.23707419,91882.91135
10.24017666,88578.72975
10.24321328,90283.46866
10.2436299,89103.54316
10.25053931,91114.36648
10.25659574,92268.41803
10.25692776,90362.09213
10.25737555,89284.88387
10.26995685,90996.71968
10.27678768,89634.8107
10.28149936,91125.85161
10.28761509,89845.00095
10.28864739,88722.24881
10.29656587,90906.5429
10.30289445,91621.33832
10.31264388,90269.37389
10.31889936,91852.30573
10.33290887,89166.7872
10.33884683,89638.10726
10.34621177,92212.69774
10.34676312,92175.50232
10.36765916,88158.92282
10.36915009,92696.03803
10.37014323,91100.90005
10.37073347,91544.51658
10.38083957,90648.94965
10.3833637,91484.92725
10.38680714,90864.97247
10.38756992,89083.42779
10.38921228,93916.91048
10.39009716,89200.47781
10.39156946,91862.70877
10.39201364,90674.63363
10.39209259,92795.00668
10.39308521,91329.4441
10.39363816,91110.63716
10.39638214,89343.16361
10.39735138,89585.66027
10.4024019,93303.5523
10.4028887,91134.75807
10.40361932,90678.58465
10.40822023,91947.65177
10.42052293,89952.84883
10.4231843,92952.4112
10.42324472,90292.43248
10.42614277,90942.59295
10.42738457,92189.51322
10.42807179,91308.87501
10.43107847,91107.6214
10.43828197,91093.11956
10.44894557,89802.08892
10.45080274,90425.29591
10.45157853,92318.44036
10.45172826,90561.44131
10.46280585,90534.33698
10.48110314,92742.79792
10.48405225,90328.79711
10.48441095,93278.74009
10.48448613,91509.11143
10.48746591,90519.16757
10.48886242,91652.784
10.49254241,90376.07589
10.49741415,92628.91938
10.50770491,92532.0802
10.51066654,93073.5294
10.51910207,92939.9843
10.52115917,89895.10978
10.52213977,91534.64948
10.53132719,90966.69715
10.53199856,93880.53677
10.53238059,93522.94161
10.53313069,93498.87373
10.53502749,91675.46581
10.53838004,89470.30284
10.53948722,92659.87349
10.54691009,91959.70665
10.55090614,92007.17634
10.55271736,93157.85857
10.55281467,92937.50697
10.55621223,91713.06397
10.56074502,92023.8228
10.56519726,91520.31414
10.56828625,89712.7796
10.5692175,93390.21777
10.57183971,91276.63473
10.57268977,92462.37167
10.57422749,92295.21318
10.57425616,90966.56344
10.57765537,93156.82215
10.58962289,92295.34405
10.59048166,91700.43775
10.59347108,91411.78968
10.59519169,92728.35043
10.59722619,90663.27876
10.59739502,91576.9267
10.60328126,91325.20315
10.60590451,93040.35231
10.60667596,90174.09089
10.60903317,92527.35648
10.61310745,91123.85957
10.61316736,94151.28821
10.61553118,94148.56822
10.61651282,92148.50376
10.62058095,92614.86375
10.62394996,96002.04436
10.62549675,91737.89741
10.62638057,92137.56527
10.62860491,91895.99905
10.63182845,91023.05759
10.63292033,90945.92213
10.63331857,92019.69185
10.63382106,93807.82774
10.63721868,93362.49598
10.63733008,94180.32924
10.6408173,92940.64268
10.64873131,90066.93915
10.650286,93231.92705
10.65336586,94421.20197
10.65560622,93530.7738
10.65865888,93436.64622
10.65911945,93054.66762
10.65962002,92091.63912
10.66438023,91246.42618
10.66746809,94030.2389
10.67457302,91529.72191
10.67922363,91553.35415
10.68090042,93707.48688
10.68289003,94173.85829
10.68625227,90029.32012
10.68693239,95020.13556
10.69498056,93693.62569
10.71583781,93518.90228
10.72026104,95686.79544
10.72148113,94185.43593
10.72480963,93295.33373
10.73590811,94702.47329
10.73615407,93266.75394
10.73867353,92511.1946
10.73897029,91437.91073
10.74276348,95712.61907
10.75226389,91864.62296
10.75758392,92514.0161
10.76233061,93802.38693
10.76509031,94508.86111
10.76577273,93853.95541
10.76959018,91260.20244
10.7707933,92267.47888
10.77687487,93722.89662
10.77793423,93406.23809
10.78199042,92706.44968
10.78529139,93313.10143
10.79257411,92981.17346
10.79539486,94478.18856
10.79800138,92799.4422
10.79861737,92770.53295
10.79998036,93542.71291
10.8000578,93242.43284
10.80346673,95642.87964
10.81075383,91929.44333
10.81079914,94489.39677
10.81304813,92530.94694
10.81727189,95923.56636
10.81962703,93837.32874
10.81988894,93646.52444
10.82703489,93681.13313
10.82861756,93702.23914
10.83042265,95191.04925
10.83849273,94117.26822
10.84148599,92070.71807
10.84380869,92775.36029
10.84539616,94212.3779
10.85139755,94845.63874
10.8599095,93820.55855
10.86229468,96759.14353
10.86507524,93684.43916
10.86637912,94164.96924
10.86979286,92348.70195
10.87389244,95557.12071
10.8749912,95331.18809
10.87522028,96899.32143
10.87908289,95162.98175
10.87911849,91957.01019
10.87944014,95160.58643
10.88038699,94412.90769
10.89088538,93896.08627
10.89591501,95189.5171
10.8963473,95506.10556
10.89929947,92651.76815
10.90357789,94981.04852
10.91166253,93441.75902
10.91420714,95111.92251
10.91666735,95875.5764
10.91893897,94789.51416
10.91935766,94362.07727
10.92194154,94676.08634
10.92867801,93419.00387
10.94145057,95758.47636
10.95086773,95276.25787
10.95239378,93335.39087
10.95335893,95813.10037
10.95496189,95654.8599
10.9608303,93362.38078
10.96654005,93240.46953
10.96696227,95681.23542
10.97086611,95090.28787
10.97224962,93039.17627
10.97921867,95523.26497
10.99070306,95697.94101
10.99162641,95238.03209
10.99332493,94411.60894
10.99755819,95931.96011
11.00027193,94289.19745
11.00154262,93722.47999
11.00617403,95678.58819
11.00619268,96179.1924
11.00962966,96819.02743
11.01157397,95698.24082
11.01868111,94892.43211
11.02081597,97747.18063
11.02655816,93943.82745
11.02810613,96777.91062
11.02841206,94247.35316
11.02856869,94024.04082
11.03445263,97456.29963
11.03983001,95587.35531
11.04151016,93666.35278
11.04252522,94963.96347
11.04557051,97672.89697
11.04595485,96103.51515
11.0497592,94486.24758
11.05186636,97357.27837
11.05188696,94585.10754
11.0587199,94998.03834
11.06342103,97592.44915
11.07755357,95252.44842
11.0826653,95378.1826
11.08836483,96068.35185
11.08938183,95037.59101
11.09125911,94300.90074
11.09387092,97842.06525
11.09588602,96118.94381
11.09684124,98005.13152
11.09717082,96216.38467
11.09935022,97001.80931
11.10066808,95323.58917
11.10277576,96065.93528
11.10622072,99257.58941
11.11181186,97186.23109
11.11199511,95394.75045
11.12607214,96716.39101
11.12681261,96204.44624
11.12953802,95603.68089
11.1325553,97386.78424
11.13471791,97452.07013
11.1453888,95080.94598
11.14804266,96950.15609
11.14882823,96548.48994
11.15330727,95832.0484
11.15763839,98285.45337
11.16447077,98364.59911
11.16454936,94039.90877
11.16756902,95270.00877
11.17259054,98951.59963
11.17841671,95672.83589
11.17953631,94777.89877
11.18391796,95959.27059
11.18650007,95937.16544
11.1896677,97349.0042
11.20482363,95481.23194
11.20954243,96747.91032
11.21500682,98370.28018
11.2170069,100001.2423
11.22086705,99076.14921
11.22652845,99191.95715
11.23415869,96729.1144
11.23653005,95680.99211
11.24061218,98868.92149
11.24770213,98619.01538
11.24971974,98256.66862
11.2523197,97084.71181
11.25628631,98214.9666
11.26134546,96625.36381
11.2627963,98778.79781
11.26784167,98138.86504
11.2733998,97720.62976
11.28008753,96290.16081
11.28111092,99185.58202
11.29045416,99030.10118
11.29707036,96538.75764
11.30304372,97963.69748
11.30443434,97091.97653
11.31081643,97598.50225
11.31772752,98451.91211
11.32306164,98615.22976
11.32318704,97066.52229
11.32728339,96738.92311
11.32732511,99317.53774
11.33620983,96979.45988
11.34023487,97133.17464
11.34089876,99064.99482
11.34525787,99183.08852
11.35191194,96995.54453
11.35309615,98748.07566
11.35376268,96214.90407
